SiteName,domain,count,date1,date2
MZ,coin,1,118,320
MZ,coin,1,118,320
MZ,coin,1,21,320
MZ,coin,1,-30,20
MZ,coin,1,100,320
MZ,coin,1,71,320
MZ,coin,1,161,320
MZ,coin,1,230,320
MZ,coin,1,68,320
MZ,coin,1,270,320
MZ,coin,1,50,320
MZ,coin,1,238,320
MZ,coin,1,235,320
MZ,coin,1,-4,320
MZ,coin,1,-30,20
MZ,coin,1,41,70
MZ,coin,1,268,320
MZ,coin,1,300,320
MZ,coin,1,260,320
MZ,coin,1,310,320
MZ,coin,1,310,320
MZ,coin,1,294,320
MZ,coin,1,297,320
MZ,coin,1,-9,320
MZ,coin,1,255,320
MZ,coin,1,276,320
MZ,coin,1,-30,20
MZ,coin,1,1,320
MZ,coin,1,-30,20
MZ,coin,1,300,320
MZ,coin,1,42,320
MZ,coin,1,20,60
MZ,coin,1,21,60
MZ,coin,1,41,60
MZ,coin,1,20,60
MZ,coin,1,37,60
PI,coin,1,-31,-1
PI,coin,1,141,470
PI,coin,1,161,470
PI,coin,1,1,470
PI,coin,1,1,470
PI,coin,1,100,470
PI,coin,1,291,470
PI,coin,1,299,470
PI,coin,1,300,470
PI,coin,1,400,470
PI,coin,1,341,470
PI,coin,1,355,470
PI,coin,1,383,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,406,470
PI,coin,1,425,470
PI,coin,1,450,470
PI,coin,1,467,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
PI,coin,1,400,470
CN,coin,1,-15,40
CN,coin,1,300,450
CN,coin,1,300,450
CN,coin,1,300,450
CN,coin,1,300,450
CN,coin,1,347,450
CN,coin,1,300,450
CN,coin,1,300,450
CN,coin,1,300,450
PT,coin,1,20,60
PT,coin,1,21,60
PT,coin,1,41,60
PT,coin,1,20,60
PT,coin,1,37,60
